title,country,city,description,attractions,tips_for_traveler,url
Аален,Германия,Аален,"Аален — небольшой город в Баден-Вюртемберге, Германия. Население города составляет около 67 тысяч человек. Город известен своим красивым историческим центром с домами-фахверками, старой ратушей и церковью.",исторический центр; дома-фахверки; старая ратуша; церковь; геолого-палеонтологический музей,"В городе работает несколько автобусных фирм, основной перевозчик — Omnibus-Verkehr Aalen (OVA). Система оплаты проезда сложная, город поделен на зоны, цена билета зависит от количества зон. Проезд оплачивается водителю при посадке. Информацию о маршрутах и зонах можно получить в бюро buspunt рядом с железнодорожным вокзалом и автостанцией.",https://ru.wikivoyage.org/wiki/Аален
Абаза,,Абаза,"Абаза — небольшой промышленный город на юге Хакасии. Сама по себе Абаза малопримечательна, но может служить базой для путешествий по Саянам, а так же пунктом отдыха по дороге в Туву.",Абазинский бор; Краеведческий музей,,https://ru.wikivoyage.org/wiki/Абаза
Абакан,Россия,Абакан,"Абакан — город в России, столица Республики Хакасия. Город расположен на левом берегу реки Абакан при её впадении в Енисей. На противоположном берегу Енисея находится Минусинск.",Гора Самохвал; Спасо-Преображенский кафедральный собор; Никольский собор; Скульптура «Маленький принц»; Стела «Лора»; Скульптура Хайджи; Памятник Ивану Ярыгину; Хакасский национальный краеведческий музей им. Л.Р. Кызласова; Музей истории Красноярской железной дороги; Центр культуры и народного творчества имени С. П. Кадышева; Русский республиканский драматический театр имени М. Ю. Лермонтова; Хакасский национальный театр кукол «Сказка»; Картинная галерея им. Ф.Е. Пронских; Парк топиарного искусства «Сады мечты»,,https://ru.wikivoyage.org/wiki/Абакан
Абиджан,Кот-д’Ивуар,Абиджан,"Абиджан — крупнейший город Кот-д’Ивуара, один из экономических центров Западной Африки. Город сочетает в себе современные высотки и трущобы, а также имеет богатую историю и культурное разнообразие.",Собор Святого Павла; Национальный парк Банко; Мост Шарля де Голля; Торговый центр в Кокоди; Пляж Вриди,"В Абиджане можно добраться на самолёте, поезде, автобусе или автомобиле. В городе есть международный аэропорт имени Феликса Уфуэ-Буаньи, а также несколько автобусных маршрутов и такси. Для передвижения по городу можно использовать автобусы SOTRA, баки (маршрутные такси), такси по счётчику или коллективные такси Wôrô-wôrô. Также можно пересечь лагуну на пароме. В городе рекомендуется быть осторожным с безопасностью и здоровьем из-за высокой влажности и плохой экологической обстановки.",https://ru.wikivoyage.org/wiki/Абиджан
Абрамцево,Россия,Абрамцево,"Абрамцево — небольшой дачный посёлок на северо-востоке Московской области неподалёку от Сергиева Посада. Самую интересную его часть составляет одноимённый музей-заповедник, в прошлом усадьба известного промышленника и мецената Саввы Мамонтова, который в конце XIX века устроил здесь творческую мастерскую, ставшую пристанищем лучших художников того времени и предтечей русского авангарда.",Музей-заповедник «Абрамцево»; Усадебный дом; Церковь Спаса Нерукотворного Образа; Мастерская; Баня-теремок; Кухня; Избушка на курьих ножках; Поленовская дача; Скамья Врубеля; Экспозиция «Русские художники XX века в Абрамцеве»; Парк с прудами; Покровский Хотьков монастырь; Отдел художественных ремёсел музея-заповедника «Абрамцево»; Дом енота; Церковь Ахтырской иконы Божьей матери; Памятник Сергию Радонежскому; Преображенская церковь,"С Ярославского вокзала в направлении на Сергиев Посад или Александров до платформы «Абрамцево» (останавливаются все электрички кроме александровских экспрессов, в пути от Москвы чуть больше часа), дальше пешком чуть более километра по идущей через лес благоустроенной и вымощенной плиткой дорожке, начинающейся от ж/д платформы прямо под треугольной крышей. Дорожка называется велосипедно-пешеходной, но для велосипеда тут, пожалуй, многовато лестниц. По Ярославскому шоссе до поворота на Лешково и Радонеж, далее в Хотьково левый поворот и еще 5 км по указателям на Абрамцево. От Москвы 75 км.",https://ru.wikivoyage.org/wiki/Абрамцево
Абрау-Дюрсо,Россия,Абрау-Дюрсо,"Абрау-Дюрсо — посёлок на Черноморском побережье Краснодарского края. Известен своим озером Абрау, заводом шампанских вин и достопримечательностями.",Озеро Абрау; Озеро Малый Лиманчик; Сквер и набережная; Скульптура «Пастушок»; Храм святой Ксении Петербургской; Завод шампанских вин «Абрау-Дюрсо»; Музей шампанского; Галерея света Абрау; Культурно-туристический комплекс «Россия»,"Из Новороссийска в Абрау-Дюрсо можно добраться на автобусе или маршрутке. Автобусы ходят раз в 1,5 часа, маршрутки — каждые 20 минут. В Новороссийске маршрутки отправляются с остановки пригородных маршрутов на улице Советов. При путешествии на автомобиле стоит учесть, что стоянка вне организованных парковок в посёлке запрещена. Работают эвакуаторы. Есть организованные платные и бесплатные парковки.",https://ru.wikivoyage.org/wiki/Абрау-Дюрсо
Абруццо,Италия,Абруццо,"Абруццо находится в центральной Италии. Административно область разделена на четыре провинции: Л’Аквила, Кьети, Пескара и Терамо.",Л’Аквила; Кьети; Пескара; Терамо,,https://ru.wikivoyage.org/wiki/Абруццо
Абу-Симбел,Египет,Абу-Симбел,"Абу-Симбел — небольшая деревня на западном берегу Нила, расположенная в 240 км к юго-западу от Асуана и в 40 км к северу от границы с Суданом. Здесь находятся два знаменитых древнеегипетских храма, высеченных в скале, которые были спасены от затопления и перенесены на новое место при строительстве Асуанской плотины.",Большой храм царя Рамзеса II; Храм царицы Нефертари,,https://ru.wikivoyage.org/wiki/Абу-Симбел
Абхазия,Абхазия,,"Абхазия — де-факто независимое государство, расположенное на Кавказе, в северо-западной части южного склона Главного Кавказского хребта, на юго-восточном побережье Чёрного моря. После окончания грузино-абхазского конфликта в 1993 году, Абхазия оказалась в условиях эмбарго и блокады, введённых Грузией и западными странами. Внешне Абхазия напоминает российские черноморские курорты второй половины 1990-х годов и начала 2000-х: запущенные советские здания, которые постепенно начинает сменять умеренно-современная застройка, слаборазвитая и старомодная инфраструктура, посредственный сервис.","Сухум; Гагра; Гудаута; Новый Афон; Очамчыра; Пицунда; Ткуарчал; Гал; Рицинский национальный парк; озеро Рица; Гегский водопад; крепость Анакопия; Новоафонский монастырь; Новоафонская пещера; храм V века в Гагре; средневековые крепостные стены в Гагре; самшитовый лес на окраине Гагры; село Лыхны; храм X века в Лыхнах; дворец абхазских князей; Приморский парк; грот Симона Кананита; реликтовый лес пицундской сосны; главный кафедральный собор абхазских католикосов Х века; храмы в сёлах Лыхны, Каман, Отхара","Попасть в Абхазию проще всего с территории России. Граница с Грузией закрыта, но не до конца, и при желании пересечь её можно в районе Зугдиди, однако придётся получать специальные разрешения и вообще потратить массу времени. Со стороны Грузии в Абхазию можно попасть пешком через КПП «Ингур» (работает с 09:00 до 19:00), но необходимо получить абхазскую визу. Визу можно получить через сайт МИД Абхазии. Выезд со стороны Грузии свободный, поскольку Грузия считает Абхазию своей частью, однако возвращаться из Абхазии необходимо будет только через Грузию, иначе грузинская сторона будет считать, что вы незаконно выехали из страны. Въезд в Абхазию для граждан России безвизовый на 90 дней, а для граждан Белоруссии и Казахстана виза не требуется для туристических поездок длиной до 14 дней. Де-факто на срок до 7 дней без визы допускаются для туристических целей граждане большинства пост-советских государств. Граждане России могут въезжать в Абхазию как по внутреннему, так и по заграничному паспорту, однако российские пограничники настороженно относятся ко внутренним паспортам: их внимательно проверяют и могут задавать владельцу каверзные вопросы вроде даты получения паспорта или адреса российской регистрации. С загранпаспортами таких вопросов не возникнет, при этом штамп о пересечении границы в российский загранпаспорт не ставится, если только вы сами об этом не попросите. При наличии загранпаспорта россиянам рекомендуют предъявлять именно его. Границу с российской стороны лучше всего пересекать поздно вечером или ранним утром. Днём на границе, особенно со стороны России, огромная очередь, в которой можно застрять на два-три часа (при тридцатиградусной жаре). В направлении Абхазия—Россия очереди как правило быстро рассасываются. И с той, и с другой стороны толпится множество таксистов, готовых доставить вас в любой населённый пункт, поэтому с транспортом проблем не возникнет. Сумки в «зелёном коридоре» на границе не досматривают, поэтому, несмотря на предупреждения в интернете, лавровые веники и самшит можно вывозить свободно. Если при въезде в Грузию пограничники обнаружат у вас абзахские штампы или штамп российского КПП «Адлер», вас оштрафуют и не пустят в страну. Так как гражданам России эти штампы обычно не ставятся, россияне вряд ли столнутся с этой проблемой, однако гражданам других государств целесообразно использовать разные паспорта для поездок в Грузию и Абхазию. Абхазские пограничники как правило менее разборчивы, они обычно не будут листать ваш паспорт в поисках «вражеских» штампов, но имеет место быть осторожным на этот счёт, и если точно не хотите никаких вопросов с их стороны, то меняйте паспорт, если там есть грузинские штампы. В Абхазии нет работающих гражданских аэропортов. Ближайший российский аэропорт — Сочи-Адлер в нескольких километрах от погранперехода в Абхазию. До Сухума ходят поезда из Москвы и Санкт-Петербурга. В этих поездах могут быть прицепные вагоны, например из Пскова и Твери. Расписание движения этих поездов часто меняется, круглогодично ходит только поезд Москва—Сухум. Также поездом можно доехать до Адлера, после чего на маршрутке или автобусе добраться до границы с Абхазией. По Российской трассе А147 (Европейский маршрут 97) следовать до села Весёлое (за Адлером), где функционирует пункт пограничного пропуска Адлер-Псоу. Пересечение границы бесплатно, с 2012 года отменен регистрационный сбор. Проезд на автомобиле со стороны Грузии (пункт пограничного пропуска Ингур на Европейский маршрут 97) или Карачаево-Черкесии (Военно-Сухумская дорога Российская трасса А155) невозможен. Не забывайте, что внутрироссийская автомобильная страховка не действует на территории Абхазии. Большинство международных грин-карт, предлагаемых страховщиками, в Абхазии также не действует. С 2022 года вновь возвращено обязательное страхование ответственности водителей иностранных транспортных средств (15 дней — 1000 рублей). Полис страхования можно оформить в пункте на КПП «Псоу», на постах ГАИ «Бзыбь» и «Приморское» с 8:00 до 21:00 и на сайте. В Сочи можно взять в аренду машину, застрахованную для поездок в Абхазию. При движении по Абхазии будьте бдительны: на любой дороге, даже на основной транспортной артерии страны — Сухумском шоосе — регулярно встречаются коровы. Соблюдайте правила дорожного движения (см. Меры предосторожности), особенно правила остановки и стоянки. С неправильно припаркованных машин дорожные инспекторы молниеносно снимают номера, оставляя на лобовом стекле свой телефон — это абхазская альтернатива эвакуаторам. Автобусы в Сухум ходят из аэропорта Адлера, самого Адлера, Сочи, Краснодара, Черкесска, Нальчика и Ростова-на-Дону и Москвы, по крайней мере летом. Границу также можно пересечь пешком. Городские автобусы, маршрутки, такси. В столице надежно и четко функционирует городской троллейбус, цена на проезд в котором просто символическая. Автобусные остановки в городах хоть и есть, но автобусы ходят нерегулярно. Маршрутки, как правило, не трогаются с места до полного заполнения салона, поэтому приходится ждать отправления по 20 минут и более. Фактическая валюта Абхазии — российский рубль. Банк Абхазии выпускает монеты и банкноты, номинированные в абхазских апсарах, но апсары имеют только коллекционную ценность для нумизматов, а в денежном обращении участвует исключительно рубль. Хотя бóльшая часть расчётов традиционно проходит за наличные, многие магазины принимают к оплате банковские карты. Карта должна быть с чипом, так как бесконтактные платежи невозможны из-за ограничений на частично признанное государство, а фразу «расплатиться телефоном или умными часами» в Абхазии просто не поймут. В каждом городе Абхазии есть пара отделений банков с банкоматами. Не забывайте, впрочем, что это самостоятельные банки независимой страны. Даже если на вывеске написано «Сбербанк», при снятии наличных с вас могут взять комиссию и местный банк, и банк-эмитент карты за трансграничную операцию. В отделениях банков можно обменять на рубли евро и доллары, но курс варьируется от плохого до грабительского. Лучшее решение — перед въездом в Абхазию иметь всю необходимую для поездки сумму в наличных рублях.",https://ru.wikivoyage.org/wiki/Абхазия
Авила,Испания,Авила,"Авила — испанский город в 100 км к северо-западу от Мадрида, внесённый в список Всемирного Наследия ЮНЕСКО за отлично сохранившиеся средневековые стены и романские храмы. Город компактен, и все достопримечательности можно осмотреть за полдня. Авила популярна среди туристов, но местных жителей тут больше, чем иностранцев.",Кафедральный собор; Монастырь Святой Терезы,"Поезда из Мадрида в Авилу ходят каждый час, в пути 1.5-2 часа. Автобусы могут быть полезны для поездок в Сеговию и Саламанку. В Авилу приходит автобан из Мадрида, бесплатно оставить машину можно вдоль северной стороны стен или у смотровой площадки.",https://ru.wikivoyage.org/wiki/Авила
Авиньон,Франция,Авиньон,"Авиньон — город во Франции, расположенный на левом берегу реки Роны. Известен с 6 века до н.э. как столица галльского племени каваров. В период с 1309 по 1378 годы был резиденцией римских пап. В 1797 году перешёл к Франции.",Папский дворец; Авиньонский собор; Мост Сен-Бенезе; Церковь Святого Петра,,https://ru.wikivoyage.org/wiki/Авиньон
Австралия,Австралия,,"Австралия — страна в Океании, занимающая целый одноименный континент. Это самый густонаселённый штат Австралии, а Сидней — самый большой и космополитичный город. На побережье штата множество пляжей и маленьких городков. Дальше от него расположены хребты Голубых гор и столица страны, Канберра. Ещё дальше от моря широкие равнины постепенно превращаются в пустыни.",Большой Барrierный риф; Область озёр Вилландра; Тасманийские пустоши; Заповедники тропических лесов Восточно-центральной Австралии; Тропические леса Квинсленда; Шарк-Бей; Ископаемые останки австралийских млекопитающих (Риверслей и Наракорт); Система национальных парков в Синих горах; Национальный парк Парнулулу; Национальный парк Улуру-Ката Тьюта; Национальный парк Какаду; Сиднейский оперный театр; Королевская выставка и Карлтонские сады; Сиднейский ботанический сад,,https://ru.wikivoyage.org/wiki/Австралия
Австрия,Австрия,,"Австрия — страна в Центральной Европе. Граничит с Швейцарией, Лихтенштейном, Германией, Чехией, Словакией, Венгрией, Словенией и Италией. Состоит из 9 земель, включая Вену, Зальцбург, Инсбрук, Линц, Грац, Клагенфурт и Мельк. В Австрии говорят на немецком языке, но с местными особенностями.",Вена; Зальцбург; Инсбрук; Линц; Грац; Клагенфурт; Мельк; Баден,"По стране удобно перемещаться на поезде. Билеты покупайте за 2-3 месяца через интернет. При покупке не жалейте деньги на оплату бронирования места. Это позволит вам не переживать и быть уверенным, что в пути вы будете отдыхать, а не скакать в поисках свободного места. В поездах есть бесплатный беспроводный интернет. Дорогу надо переходить где положено, вам всегда автомобили будут уступать дорогу.",https://ru.wikivoyage.org/wiki/Австрия
Агадир,Марокко,Агадир,"Агадир — крупный порт и популярный пляжный курорт на юге Атлантического побережья Марокко. Город был полностью разрушен землетрясением 1960 года и заново отстроен. Агадир известен своими песчаными пляжами, мягким климатом и развитой туристической инфраструктурой.",Долина птиц; Касба; Тамрахт; Таразут,"Международный аэропорт города Agadir-Al-Massira (AGA) принимает самолеты множества авиакомпаний мира. В летний туристический сезон из Москвы в Агадир летают чартерные рейсы. Из аэропорта в город можно добраться напрямую на такси за 150-200 дх или на автобусе сначала до пригорода Инзеган(Inzegane), а далее с пересадкой на гранд-такси до Агадира. Железнодорожного сообщения с другим городами страны нет. В 2010 году была запущена новая автострада (autoroute), соединившая скоростным и безопасным движением Марракеш и Агадир. На центральный автовокзал Агадира прибывают автобусы из всех городов Марокко. Наиболее распространенным направлением, если ехать из Касабланки, считается путь сначала до Марракеша (в пути 3 часа), а затем уже из Марракеша в Агадир (в пути 3 часа), но возможен приезд в Агадир и по прибрежной части через Эс-Сувейру. На автовокзал ближайшего пригорода Агадира- Инзеган (10 км от Агадира) прибывает множество автобусов местных марокканских автобусных линий, туда же прибывает автобус из аэропорта Агадира. В Агадир из Инзегана (место остановки Батуар-центральная таксомоторная площадь Агадира) далее можно добраться на гран-такси (стоимость около 5 дх с человека).",https://ru.wikivoyage.org/wiki/Агадир
Агинское,Россия,Агинское,"Агинское — посёлок городского типа в Забайкальском крае, центр Агинского Бурятского округа. Селение на месте Агинского возникло в конце XVIII века, когда сюда перекочевали 8 бурятских родов. В 1811 году около Агинского был основан дацан, который со временем стал крупнейшим буддийским монастырём Забайкалья. Агинское превратилось в центр бурятского анклава, расположенного к югу от Читы.",Агинский дацан; Агинский национальный музей им. Цыбикова; Цугольский дацан,"Почти во всех случаях, только если вы не едете из Китая, путь в Агинское лежит через Читу. Ближайший к Агинскому аэропорт расположен в Чите, в 170 км к северо-западу. В Агинском нет железной дороги, ближайшая станция — Могойтуй — расположена в 40 км к северо-востоку, но пассажирские поезда через неё ходят нечасто. Агинское стоит на федеральном шоссе Чита — Забайкальск, примерно в 150 км от Читы. Дорога поддерживается в близком к идеальному состоянии. Автобусы и маршрутки из Читы в Агинское ходят примерно каждые 2 часа, в пути около 2 часов.",https://ru.wikivoyage.org/wiki/Агинское
Агордат,Эритрея,Агордат,"Агордат — город на западе Эритреи на берегу реки Барка в провинции Гаш-Барка. Это бывший центр провинции Барка и бывший конечный пункт ныне недействующей Эритрейской железной дороги, построенной итальянцами.",Католический собор; Центральная мечеть; Памятник итальянцам времен второй мировой войны; Старое здание железнодорожной станции; Здание администрации города,"Агордат находится в 160 км к западу от Асмэры. Дорога в хорошем состоянии. Автобус до Асмэры идет 5 часов, до Кэрэна — 3 часа. Микроавтобус до Барэнту — 1,5 часа. Транспорт отправляется от центральной площади.",https://ru.wikivoyage.org/wiki/Агордат
Агра,Индия,Агра,"Агра — город на индийских равнинах в 200 км к югу от Дели. Именно там находится всемирно известный Тадж-Махал, а заодно и другие памятники эпохи Великих Моголов.",Тадж-Махал; Форт Агры; Джума-мечеть; Мехтаб-Баг; Итимад-уд-Даулах; Чини-Ка Рауза; Собор Святого Георгия; Церковь Святой Марии; Колледж Святого Иоанна; Собор Непорочного Зачатия; Католическое кладбище; Гробница Акбара Великого; Фатехпур-Сикри,"Основной вид транспорта в Агре — авторикши, они же тук-туки. Обычному такси бывает непросто в пробках, не говоря уж про городские автобусы, а скутеры-такси больше похожи на вариант для экстремалов (хотя и в авторикшах тоже бывает страшновато). Заказывать все виды такси можно через приложения Uber и Ola. В местах, где у тук-туков стоянки, часто бывает проще всего посмотреть цену в приложении и потом идти торговаться к водителям, ориентируясь на него. На февраль 2023 стандартный тариф между двумя соседними достопримечательностями — в районе 80 рупий. Метро по состоянию на 2023 год находится в стадии активного строительства. Его собираются открыть сразу с 2 линиями и 27 станциями, которые будут охватывать оба вокзала и основные достопримечательности, кроме левого берега Ямуны. Привычно для Индии движение в городе совершенно дикое. Если у вас нет соответствующего опыта, машину там лучше не водить.",https://ru.wikivoyage.org/wiki/Агра
Агридженто,Италия,Агридженто,"Агридженто — город вблизи южного побережья Сицилии, стоящий на месте крупного древнегреческого города Акрагаса. Сюда едут, прежде всего, ради Долины храмов – всемирно известной археологической зоны, где среди многочисленных развалин древнегреческих храмов VI–V веков до нашей эры гордо стоит прекрасно сохранившийся храм Конкордии. Найдется, на что посмотреть и в средневековом центре Агридженто.",Долина храмов; Собор Сан-Джерландо; Церковь Санта-Мария-деи-Гречи; Церковь Сан-Лоренцо; Монастырь Санто-Спирито; Церковь Святого Духа; Ворота у моста; Здание почты; Храм Гефеста; Святилище хтонических божеств; Храм Диоскуров; Храм Зевса Олимпийского; Гробница Терона; Храм Геракла; Храм Конкордии; Храм Юноны; Эллинистический и Римский квартал; Святилище Деметры; Храм Деметры; Региональный археологический музей; Епархиальный музей; Le Fabbriche,,https://ru.wikivoyage.org/wiki/Агридженто
Аддис-Абеба,Эфиопия,Аддис-Абеба,"Аддис-Абеба — крупнейший город Эфиопии и её столица. В городе находится более 120 посольств и международных миссий, а также штаб-квартира Африканского Союза и Экономической комиссии ООН для Африки. Температура в Аддис-Абебе постоянна из месяца в месяц, с средними максимумами от 17°C до 22°C и минимумами от 11°C до 14°C.",Национальный музей Эфиопии; Музей красного террора; Африка-Холл; Здание парламента,,https://ru.wikivoyage.org/wiki/Аддис-Абеба
Адлер,Россия,Адлер,"Адлер — южная часть Сочи, известная как курортный район с пляжным отдыхом. Здесь мало достопримечательностей, за исключением парка «Южные Культуры» — одного из лучших ботанических садов черноморского побережья. Адлер стал местом проведения зимней Олимпиады-2014, что привело к значительным изменениям в инфраструктуре и архитектуре города.",Парк «Южные культуры»; Олимпийский парк; Центральный стадион «Фишт»; Ледовый дворец «Большой»; Конькобежный стадион «Адлер-Арена»; Дворец зимнего спорта «Айсберг»; Стадион для кёрлинга «Ледяной куб»; Старообрядческое кладбище; Адлерский маяк; Собор Святого Саркиса; Храм Святого Духа; Свято-Троицкая церковь; Бестужевский парк и памятник Бестужеву; Здание портопункта Адлер; Здание детской музыкальной школы; Олимпийские кольца; Обзорная площадка; Музей истории Адлерского района; Парк культуры и отдыха; Колесо обозрения «Пять звёзд»; Детский развлекательный комплекс «Мадагаскар»,"В Адлере можно добраться на самолёте, поезде или автобусе. Аэропорт Сочи находится в паре километров от города, а железнодорожный вокзал расположен в микрорайоне «Голубые дали». В городе есть несколько автобусных маршрутов, включая маршрутки и автобусы, которые соединяют Адлер с другими районами Сочи и Красной Поляной. Для путешественников, не склонных к пляжному отдыху, Адлер — это транзитный пункт, где удобно остановиться, но смотреть практически не на что.",https://ru.wikivoyage.org/wiki/Адлер
